一	a
满腹经纶	vqzz
溜	vr
浩然正气	vram
湰	vram
鼗	vrb
漈	vrbk
濒危动物	vrbm
兆赫	vrbn
渔场	vrby
浲	vrci
兆丰	vrci
漨	vrcw
兆	vrd
海外投资	vrdt
洛扎	vrdz
洛南	vrel
泡菜	vrep
涣散	vreq
涤蔴	vret
鼗	vrex
淘	vrez
涤	vrf
渔村	vrfd
溜槽	vrfe
涤棉	vrfn
澹	vrg
頫	vrgo
洈	vrgy
汦	vrh
渔轮	vrho
洛	vrj
洺	vrj
泃	vrj
潒	vrjg
浼	vrjr
洵	vrk
涽	vrk
澛	vrk
瀂	vrk
波尔图	vrkj
沙鲁里山	vrkl
沵	vrko
泺	vrko
濥	vrko
沉甸甸	vrkr
渔业	vrku
涣	vrl
涣	vrlg
渙	vrlg
盜	vrlk
覜	vrlr
溶解度	vrlt
漠然置之	vrlw
淘	vrm
洚	vrmb
滐	vrmf
渔利	vrmk
波多黎各	vrmr
淘气	vrmy
泖	vrmy
淊	vrnb
洛川	vrnd
海外侨胞	vrnq
兆位	vrns
沕	vrod
澹	vros
淴	vrow
洶	vroz
淘金	vrpa
瀏	vrpk
渔船	vrpq
渔猎	vrqe
湝	vrrn
沘	vrrr
瀺	vrrs
淡然处之	vrrw
鴵	vrrz
汐	vrs
汋	vrs
汷	vrs
汣	vrs
泜	vrs
渹	vrs
波多诺伏	vrsn
泈	vrtd
汮	vrtd
淗	vruf
洛美	vrug
渔	vrv
泡沫	vrva
洛河	vrva
洛浦	vrvf
淘汰	vrvg
渔	vrvv
漁	vrvv
逃	vrw
洛宁	vrwa
沟通	vrwx
浄	vrxb
洛桑	vrxx
泡	vry
渔民	vryh
溜	vryk
洛阳	vryk
澥	vrym
染色体	vryn
洛隆	vryr
港务局	vryx
沟	vrz
溩	vrza
海外经营	vrze
涤纶	vrzo
湚	vrzq
沟	vrzs
涉外经济	vrzv
涤丝	vrzz
流	vs
滦平	vsau
漳平	vsau
泳坛	vsbb
流域	vsbh
灨	vsbl
游走	vsbo
流动	vsbz
滚动	vsbz
游动	vsbz
游击	vsbz
注	vsc
游玩	vscb
滚珠	vscm
乼	vscy
流毒	vscz
注意事项	vsdb
滚热	vsdq
汉语拼音	vsds
沾亲带故	vsee
济南	vsel
滦南	vsel
潼南	vsel
浪花	vsen
瀼	vser
流落	vsev
游荡	vsev
游艺	vsey
滦	vsf
流标	vsfb
淳朴	vsfi
流露	vsfj
瀙	vsfl
澵	vsfp
清产核资	vsft
法新社	vsfw
液压	vsgb
海市蜃楼	vsgf
淳厚	vsgk
液态	vsgs
游历	vsgy
汒	vsh
流感	vsha
测试仪	vshn
滚轮	vsho
瀧	vsi
汴	vsid
汶上	vsiv
涪	vsj
游园	vsjb
涼	vsjk
湻	vsjk
滈	vsjl
澟	vsjm
滾	vsjr
渷	vsjr
淳	vsjy
涥	vsjy
泳	vsk
湆	vsk
流量	vska
澶	vska
潼	vskb
浏	vskd
漳	vske
注意到	vskh
消音器	vskj
液晶	vskk
浏览	vskm
游览	vskm
注明	vskq
滖	vskr
滰	vskr
瀤	vskr
流言蜚语	vsks
流水	vskv
注水	vskv
澺	vskw
流畅	vsky
注意力	vsky
滝	vskz
滴	vsl
注目	vsla
灜	vslq
漓	vslz
滦县	vslz
漳县	vslz
游	vsm
浐	vsm
浒	vsme
滸	vsme
流程	vsmj
淤积	vsmj
注重	vsmk
流利	vsmk
流血	vsml
淤血	vsml
滚筒	vsml
游牧	vsmm
滻	vsmm
流失	vsmo
流离失所	vsmp
游移	vsmr
污言秽语	vsms
液氨	vsmw
濓	vsmx
游	vsmy
湤	vsmy
液	vsn
流传	vsnb
瑬	vsnc
注射	vsnd
济	vsnd
済	vsnd
汶川	vsnd
液体	vsnf
流体	vsnf
流向	vsnj
洂	vsno
鎏	vsnp
液	vsnr
液化	vsnr
淳化	vsnr
滾	vso
汶	vso
游街	vsob
游人	vsod
注入	vsod
流入	vsod
淬	vsoe
湙	vsog
流行	vsoi
游行	vsoi
滧	vsom
洨	vsoo
淤	vsot
兴高采烈	vspa
注销	vspk
滚翻	vspk
游船	vspq
注释	vspx
游艇	vspy
湇	vsq
沆	vsqd
溶剂脱蜡	vsqi
澈	vsqm
注册	vsqq
洗衣机	vsrf
温文尔雅	vsrh
游乐	vsrk
注解	vsrl
濟	vsrn
流言	vssa
流亡	vssh
注意	vssk
流产	vssm
流放	vssm
游离	vsso
泳衣	vssr
游说	vssv
流氓	vssy
游记	vssy
浪头	vstg
泣	vsu
潼关	vsug
滴	vsul
滳	vsul
洽谈会	vsuo
淬火	vsuo
洽谈室	vsuw
流汗	vsva
漓江	vsvb
浪涛	vsvc
没说的	vsvd
浪潮	vsve
流满	vsve
漳浦	vsvf
济源	vsvg
漩涡	vsvj
浪漫	vsvk
流沙	vsvk
流淌	vsvk
流泪	vsvl
漳州	vsvn
流派	vsvp
游泳	vsvs
滚滚	vsvs
流浪	vsvs
滂沱	vsvw
淤泥	vsvx
滚烫	vsvy
泳池	vsvy
渟	vswa
济宁	vswa
注定	vswd
淤塞	vswe
流速	vswf
濠	vswg
深谋远虑	vswi
流窜	vswj
注视	vswl
渧	vswl
游逛	vswq
湸	vswq
游客	vswr
滂	vsws
流通	vswx
淳安	vswz
浪	vsx
游戏	vsxh
漩	vsxi
浪	vsxo
滚屏	vsxu
汸	vsy
游子	vsya
涪陵	vsyb
游民	vsyh
济阳	vsyk
浏阳	vsyk
潡	vsym
浪费	vsyn
漷	vsyy
湾	vsyz
澈	vsz
滀	vszk
淁	vszm
流	vszn
澭	vszn
灕	vszn
瀛	vszq
淯	vszq
滚	vszr
流出	vszz
泫	vszz
渡	vt
灋	vtbz
润	vtc
浓妆艳抹	vtcd
油门把手	vtdm
海底捞月	vtdq
渡	vte
海北藏族自治州	vtes
渡	vtex
澜	vtf
渡槽	vtfe
灖	vtfk
澜	vtfl
瀇	vtg
渡轮	vtho
渡口	vtja
兴冲冲	vtjt
涧	vtk
澳门元	vtlb
澳门特区	vtmh
澳门特别行政区	vtmj
海阔凭鱼跃	vtnr
瀍	vtob
泼冷水	vtok
渡船	vtpq
混凝土	vtrb
沙门氏菌	vtre
河北省	vtrk
湖北省	vtrk
澬	vtrl
润色	vtry
法庭调查	vtsf
濂	vtu
瀌	vtuo
濂	vtux
渡	vtv
润湿	vtvk
润滑	vtvl
澜沧	vtvo
油头滑脑	vtvq
温度计	vtvs
渡过	vtwd
漉	vtx
溏	vtxj
漮	vtxk
滽	vtxl
洞庭湖	vtyv
海底隧道	vtyw
洋	vu
混为一体	vuan
泮	vub
溠	vubi
法兰绒	vubz
洋	vuc
淫羊霍	vucf
滋长	vuch
酒精灯	vucu
滋扰	vudg
滋事	vudj
没精打彩	vudp
洴	vue
渆	vuek
瀵	vueo
洋葱	vuer
淡薄	vuev
法兰克福	vuew
洣	vuf
澊	vufd
湭	vufd
洋相	vufl
法兰西堡	vufn
渼	vugd
浂	vugd
渕	vugk
没关系	vugm
深情厚谊	vugs
澻	vugw
滋味	vujb
浺	vuji
瀯	vujj
洋为中用	vujl
涚	vujr
瀵	vuk
潽	vukk
湴	vuku
淡水	vukv
漛	vukv
潧	vulk
洋县	vulz
湉	vumi
活性炭	vuml
活性钙	vump
淡季	vumy
渞	vunl
油料作物	vunm
溢价	vuno
淡化	vunr
洋货	vunr
满怀信心	vunw
溢	vuo
淡入	vuod
淀粉酶	vuof
溢	vuol
湔	vuq
湔	vuqk
淡然	vurg
潾	vurm
湵	vurs
溬	vurz
漾	vus
漾	vusk
瀁	vusx
淡妆	vutz
淡	vuu
海关总署	vuul
淡	vuuo
溔	vuuo
沩	vuv
淡漠	vuve
洋浦	vuvf
溯源	vuvg
洋油	vuvk
洋溢	vuvu
淡淡	vuvu
洋洋	vuvu
活性染料	vuvu
瀅	vuwc
濚	vuwf
滋补	vuwi
濴	vuwk
灐	vuwp
洋房	vuws
濙	vuwu
澇	vuwy
瀠	vuwz
溓	vuxk
涕	vuy
滑翔机	vuyf
沩	vuys
溈	vuyu
淃	vuyy
涕	vuyz
滋	vuz
潫	vuz
淡红	vuzb
源数据	vuzd
溇	vuzm
溯	vuzq
濨	vuzw
溢出	vuzz
淡出	vuzz
滋	vuzz
洲	vv
沧海一粟	vvaf
济济一堂	vvak
澎湖列岛	vvar
沿海开放城市	vvas
漏洞百出	vvaz
沿海地带	vvbe
沿海地区	vvbh
浙江省	vvbk
波澜起伏	vvbn
沸沸扬扬	vvdd
没事	vvdj
澄清事实	vvdw
浩浩荡荡	vvee
洮南	vvel
没落	vvev
冰淇淋	vvev
清清楚楚	vvff
源源本本	vvff
浮游植物	vvfm
源源而来	vvgb
清清爽爽	vvgg
津津有味	vvgj
泱泱大国	vvgj
灌溉面积	vvgm
没有	vvgq
汪洋大海	vvgv
淘汰赛	vvgw
洋洋大观	vvgx
滔滔不绝	vvgz
渐渐地	vvhb
浅浅的	vvhd
泛滥成灾	vvhw
海湾战争	vvir
浑浊度	vvit
没味	vvjb
汽油机	vvkf
混淆是非	vvkk
混淆黑白	vvln
港澳同胞	vvlq
润滑脂	vvlq
润滑油	vvlv
浮游生物	vvmm
渤海湾	vvmv
泥沙俱下	vvna
沾沾自喜	vvnb
洲	vvnd
济州岛	vvnr
港澳台	vvnz
誉满全球	vvoc
沐浴器	vvoj
泾渭分明	vvok
澜沧江	vvov
污染物	vvqm
没脸	vvqo
污染源	vvqv
洮	vvr
洮	vvrd
海洛因	vvrj
洗涤剂	vvrs
津津乐道	vvrw
游泳舘	vvso
游泳池	vvsv
波澜壮阔	vvtt
海洋权	vvuf
海洋性气候	vvum
泡沫塑料	vvuu
海洋法	vvuv
海洋学	vvuv
海洋局	vvux
淮河流域	vvvb
汗流满面	vvvg
满洲里	vvvk
汗流浃背	vvvt
江河湖泊	vvvv
汹涌澎湃	vvvv
海淀区	vvwh
混淆视听	vvwj
泛泛之交	vvws
沉淀法	vvwv
洪涝灾害	vvww
没戏	vvxh
淋漓尽致	vvxh
滤波器	vvxj
沧海桑田	vvxk
洪泽湖	vvxv
激流勇退	vvxw
添油加醋	vvyf
脊梁骨	vvyl
漂泊异乡	vvyz
潮汐发电	vvzk
波浪发电	vvzk
没收	vvzm
没能	vvzq
港澳台商	vvzs
沿海经济	vvzv
学	vw
演	vwa
浫	vwae
溕	vwag
泞	vwai
瀢	vwal
浓烈	vwar
淙	vwb
学士	vwba
漥	vwbb
涳	vwbi
滘	vwbj
演示	vwbk
渲	vwbk
淙	vwbk
学者	vwbm
深圳	vwbn
浣	vwbr
澾	vwbu
演奏	vwca
深耕	vwcb
沉静	vwcq
深表	vwcr
淀	vwd
演技	vwde
滴定管	vwdm
演播	vwdp
黉	vwe
活塞环	vwec
活塞杆	vwef
深藏	vweh
学期	vweq
学艺	vwey
浨	vwf
淭	vwf
觉醒	vwfk
漣	vwfk
渾	vwfk
学校	vwfs
学术	vwfs
沉醉	vwfs
涙	vwgd
	vwgd
深厚	vwgk
浓厚	vwgk
浑厚	vwgk
浓郁	vwgq
溶有	vwgq
淚	vwgs
湥	vwgs
涋	vwgs
深灰	vwgu
学历	vwgy
深宅大院	vwgy
浤	vwgz
浑	vwh
深感	vwha
潌	vwhb
浑	vwhe
涟	vwhe
活塞式小号	vwhk
深切	vwhy
滱	vwix
溶	vwj
浑圆	vwjj
演唱	vwjk
演员	vwjl
学员	vwjl
沉吟	vwjo
滬	vwjy
溟	vwk
学时	vwkd
渖	vwki
濱	vwkl
演	vwko
学业	vwku
涟水	vwkv
沁水	vwkv
深思	vwkw
沉思	vwkw
学堂	vwkw
漃	vwkx
觉	vwl
濘	vwla
沉默	vwlb
濄	vwlj
深山	vwll
沉睡	vwlm
瀗	vwlw
濅	vwlx
沁县	vwlz
深县	vwlz
泌	vwm
沪	vwm
浶	vwmb
学生	vwmc
渗透压	vwmg
深知	vwmj
沉积	vwmj
沉重	vwmk
深重	vwmk
浓重	vwmk
溶血	vwml
学制	vwml
演算	vwml
滵	vwml
学年	vwmm
沉稳	vwmr
学科	vwmt
渗透性	vwmu
深秋	vwmu
浑身	vwnc
深化	vwnr
演化	vwnr
溶化	vwnr
深信	vwns
学位	vwns
深奥	vwnu
深	vwo
泬	vwo
学会	vwob
学徒	vwob
流通领域	vwob
深入	vwod
深	vwof
溶	vwoj
瀽	vwoj
觉得	vwok
法定人数	vwou
学分	vwoy
滨	vwp
沈丘	vwpd
溶质	vwpe
瀋	vwpk
滨	vwpo
汉字键盘输入	vwpp
溛	vwps
深受	vwpw
沉	vwq
沉	vwqd
学风	vwqo
浓	vwr
漨	vwrc
沈	vwrd
浓	vwrh
深处	vwri
学名	vwrj
溶解	vwrl
沱	vwrr
瀉	vwru
深色	vwry
涴	vwry
滓	vws
演讲	vwsb
滓	vwse
学识	vwsj
深夜	vwsn
溶剂	vwsn
深交	vwso
溟	vwso
深望	vwsq
学说	vwsv
演说	vwsv
流连忘返	vwsw
演变	vwsx
深刻	vwsz
深闺	vwtb
学问	vwtj
学府	vwtn
沉底	vwtr
深度	vwtv
浓度	vwtv
沉闷	vwtw
沉痛	vwtx
浓妆	vwtz
觉悟	vwub
深兰	vwub
深情	vwuc
澻	vwug
沉着	vwul
觉着	vwul
淀粉	vwuo
深为	vwuv
源远流长	vwvc
浑源	vwvg
涟源	vwvg
沁源	vwvg
深浅	vwvh
浑浊	vwvi
溶洞	vwvl
深海	vwvm
滨海	vwvm
深渊	vwvn
滨州	vwvn
沉沦	vwvo
学派	vwvp
沉浮	vwvp
渲染	vwvq
溶液	vwvs
沉没	vwvv
流通渠道	vwvw
深深	vwvw
深沉	vwvw
沉淀	vwvw
沉浸	vwvx
深泽	vwvx
沉溺	vwvy
深远	vwwb
学过	vwwd
学家	vwwg
沉寂	vwwi
澝	vwwl
深造	vwwm
淧	vwwm
深究	vwwq
觉察	vwwr
沉迷	vwwu
深邃	vwww
浓密	vwww
澠	vwx
深层	vwxb
满心欢喜	vwxb
沪剧	vwxe
泌尿	vwxk
濵	vwxl
涫	vwy
学子	vwya
海军陆战队	vwyi
沈阳	vwyk
沁阳	vwyk
泌阳	vwyk
学费	vwyn
深陷	vwyr
沉陷	vwyr
沉降	vwyr
学习	vwyt
演习	vwyt
学院	vwyw
沁	vwz
泻	vwza
演练	vwzh
兴安盟	vwzk
兴安岭	vwzl
洝	vwzm
浓缩	vwzw
演绎	vwzx
学好	vwzy
演出	vwzz
汉	vx
澄	vxa
波形	vxae
湀	vxag
泽	vxb
泥土	vxba
法属圭亚那	vxba
堻	vxbb
津	vxbd
汗马功劳	vxbe
汉城	vxbh
澄城	vxbh
泾	vxbi
泽	vxbi
潳	vxbm
溌	vxbr
泥坑	vxbs
深层次	vxbt
湕	vxby
波动	vxbz
涌动	vxbz
潤	vxc
汉寿	vxcd
波长	vxch
澉	vxcm
涌现	vxcv
浔	vxd
波折	vxdp
浔	vxds
沑	vxed
涺	vxej
汉墓	vxek
波斯	vxep
漏	vxf
澖	vxf
瀾	vxfl
漏	vxfv
碆	vxg
決	vxgd
漏面	vxgj
溉	vxh
渥	vxhb
游戏机	vxhf
溉	vxhr
波	vxi
滪	vxig
澦	vxig
汉卡	vxii
湑	vxiq
涒	vxj
汉口	vxja
潯	vxjd
湋	vxjm
澼	vxjs
澄	vxju
汉中	vxjv
波恩	vxjw
澗	vxk
洆	vxka
澅	vxka
灛	vxke
漽	vxkm
漏水	vxkv
汉水	vxkv
渌	vxkv
涵	vxkz
涌	vxl
湄	vxl
波黑	vxlb
涌	vxld
津贴	vxli
涮	vxlk
慂	vxlw
湧	vxly
泾县	vxlz
渘	vxmf
浘	vxmh
濶	vxmi
浸种	vxmj
潏	vxml
漏税	vxmu
漏气	vxmy
深居简出	vxmz
滩	vxn
波段	vxnc
汉川	vxnd
泾川	vxnd
潚	vxnd
汉代	vxnh
滩	vxni
涌向	vxnj
汉堡	vxnj
津白	vxnk
灁	vxnk
泿	vxo
浸入	vxod
涌入	vxod
汉人	vxod
澱	vxoq
錃	vxp
泦	vxqy
泥	vxr
埿	vxrb
灟	vxri
温尼伯	vxrn
泥	vxrr
汉	vxs
汊	vxs
沢	vxs
汉语	vxsb
溞	vxsi
波音	vxsk
津市	vxsl
汉族	vxsm
漏诊	vxso
涵义	vxso
潣	vxso
浕	vxst
漏斗	vxte
泽库	vxth
泥浆	vxtr
波兰	vxub
泽普	vxuk
涵盖	vxul
濜	vxul
涵养	vxun
漏粉	vxuo
泥塑	vxuz
澄清	vxvc
波涛	vxvc
浸渍	vxvc
活灵活现	vxvc
浮皮潦草	vxve
汉沽	vxve
泥潭	vxvf
湄潭	vxvf
汉源	vxvg
泾源	vxvg
泥沙	vxvk
漏洞	vxvl
涵洞	vxvl
澄海	vxvm
法属波利尼西亚	vxvm
滩涂	vxvo
浸泡	vxvr
波浪	vxvs
浸润	vxvt
波澜	vxvt
泥泞	vxvw
婆婆	vxvx
浸	vxw
澄迈	vxwa
涌进	vxwb
波密	vxww
浸	vxwx
汉字	vxwy
汿	vxxi
涰	vxxx
溊	vxxx
潺	vxy
汉子	vxya
汉阳	vxyk
波阳	vxyk
泾阳	vxyk
波及	vxym
汉阴	vxyq
潑	vxyq
潺	vxyy
婆	vxz
汉奸	vxza
婆	vxzm
灍	vxzr
波纹	vxzs
涌出	vxzz
淈	vxzz
学院	vy
汓	vya
汈	vya
泀	vyaj
濻	vyal
漋	vyam
梁平	vyau
瀡	vybq
池塘	vybt
涨	vyc
渳	vyce
涨	vych
漲	vych
汲取	vycx
汛	vye
汛	vyed
潠	vyeo
瀷	vyeo
汛期	vyeq
梁	vyf
津巴布韦	vygb
汤碟	vyge
汤原	vygn
游刃有余	vygo
汤碗	vygw
泯	vyhd
湣	vyhk
池	vyi
澀	vyii
沸点	vyij
淋巴液	vyiv
淋巴结	vyiz
沼	vyj
泇	vyj
深加工	vyjb
漒	vyji
汤圆	vyjj
瀥	vyjl
涨跌	vyjm
添加剂	vyjs
活力因子	vyjy
消费水平	vyka
沈阳市	vyks
溺水	vykv
沸水	vykv
涨幅	vyla
梁山	vyll
汲县	vylz
滁县	vylz
氻	vym
涏	vymb
涉及到	vymh
涎	vymi
梁赞	vymr
汲	vyms
沼气	vymy
沸	vyn
消费者	vynb
沸	vynd
消费品	vynj
消费量	vynk
消费税	vynm
涨价	vyno
汤	vyo
汤	vyod
濢	vyoe
梁	vyof
滁	vyom
瀰	vyoo
漻	vyop
烫	vyou
粱	vyou
沸腾	vyqu
瀡	vyqw
瀡	vyqy
汤勺	vyrs
涩	vys
涩	vysi
澀	vysi
涊	vysw
溺	vyt
烫	vyu
汛情	vyuc
梁河	vyva
涨潮	vyve
滁州	vyvn
池州	vyvn
沼泽	vyvx
瀈	vywf
湕	vyxb
溋	vyxl
沒	vyxs
池子	vyya
汜	vyyb
氾	vyyb
汤加	vyyj
泐	vyym
濯	vyyn
漝	vyyn
汤阴	vyyq
溺	vyyt
洲际导弹	vyyy
泓	vyz
淋巴细胞	vyzq
泓	vyzs
泼	vz
滍	vzai
湽	vzak
潍坊	vzbs
治理	vzck
淄博	vzef
汝南	vzel
治丧	vzeu
灤	vzf
治本	vzfa
泪如雨下	vzfa
治标	vzfb
渗析	vzfp
渗	vzg
治厂	vzgg
渗碳	vzgl
海参崴	vzgl
渗	vzgp
湪	vzgq
学以致用	vzhl
治	vzj
洳	vzj
治国	vzjc
淄	vzk
漅	vzkf
浮出水面	vzkg
淄	vzki
渗水	vzkv
治水	vzkv
淥	vzkv
泼墨	vzlb
治罪	vzlk
浚县	vzlz
汝	vzm
温婉秀丽	vzma
涘	vzma
洠	vzmb
汇编程序	vzmt
潍	vzn
潍	vzni
濰	vzni
兴妖作怪	vznu
浚	vzo
治愈	vzoa
渗入	vzod
泤	vzod
滲	vzop
浚	vzor
测绘局	vzox
沇	vzrd
泼辣	vzsf
汇编语言	vzss
治病	vzta
治疗	vzty
浩如烟海	vzuv
泼	vzv
激发态	vzvg
汝州	vzvn
渗漏	vzvx
渗透	vzwm
浓缩铀	vzwp
治安	vzwz
泼	vzxs
汝阳	vzyk
灉	vzyn
灣	vzyz
濼	vzzf
泏	vzzi
派出所	vzzp
泑	vzzy
这	w
之	wa
辶	waaa
宁武	waah
之下	waai
宁可	waaj
宁晋	waak
富丽	waal
宁夏	waan
富平	waau
之一	waav
富士	waba
之二	wabd
宁城	wabh
福贡	wabl
逼走	wabo
宁都	waby
宁静	wacq
安于现状	wact
迂	wad
之势	wadq
写的	wadv
迀	waed
遮天蔽日	waek
逼真	wael
宁南	wael
宁蒗	waev
富蕴	waez
袜	waf
迗	wagd
适可而止	wagi
宁愿	wagn
富有	wagq
写有	wagq
宁死不屈	wagx
宣武区	wahh
宁	wai
宁肯	waiq
之上	waiv
富	waj
富贵	waja
逗号	waja
富国	wajc
宁国	wajc
安哥拉	wajd
富足	waji
富贵	waji
迂回	wajj
逼	wajk
之路	wajr
宁夏回族自治区	wajs
逗	waju
之中	wajv
逗哏	wajx
可以	wajz
寅	wak
之最	wakc
富丽堂皇	wakn
宁明	wakq
写照	waky
逦	wal
迊	wali
逦	wall
近两年	walm
之内	walo
宁冈	walo
邐	walt
富县	walz
福鼎	walz
宁县	walz
近一年来	wamb
近两年来	wamb
近百年来	wamb
写生	wamc
福利	wamk
逗笑	wamm
福气	wamy
寡	wan
逼债	wanc
富川	wand
逼供	wane
富顺	wang
迈向	wanj
福泉	wank
写作	wanm
宁化	wanr
写信	wans
写入	waod
宁德	waoe
富饶	waoh
富余	waom
邇	waoo
富翁	waoz
之后	wapa
富锦	wapn
宇航	waps
字正腔圆	waqj
之外	wari
逗乐	wark
迾	wark
逗留	wars
之计	wase
农副产品	wasj
富豪	wasj
福音	wask
之谜	wasw
之恋	wasw
之间	watk
之类	waug
写着	waul
之首	waun
之前	wauq
之举	wava
这一下	wava
宁河	wava
写法	wavb
福清	wavc
这一切	wavh
进一步	wavi
这一点	wavi
宁海	wavm
这一段	wavn
福州	wavn
辷	wavv
宁波	wavx
宁津	wavx
富宁	wawa
迈进	wawb
写进	wawb
宁远	wawb
福祉	wawi
宇宙	wawk
逼迫	wawn
富裕	wawo
逼近	wawp
富农	wawr
之道	wawu
边干边学	wawv
写字	wawy
福安	wawz
宁安	wawz
迈	way
袜子	waya
之际	wayb
宁陵	wayb
富强	wayj
宁强	wayj
富阳	wayk
宁阳	wayk
迈	waym
福建	wayx
写	waz
视死如归	wazk
写给	wazo
寡妇	wazx
迈出	wazz
写出	wazz
宁乡	wazz
完	wb
窍	wba
遍地开花	wbae
宣武	wbah
军地两用人材	wbal
富士山	wbal
褂	wbb
进款	wbbb
还款期	wbbe
进项	wbbg
遶	wbbg
边境地区	wbbh
宣城	wbbh
运城	wbbh
完工	wbbi
进来	wbbk
进攻	wbbm
违规	wbbo
运走	wbbo
空地	wbbv
实地考察	wbbw
空壳	wbbw
宗教	wbby
运动	wbbz
进去	wbbz
运球	wbcd
社长	wbch
进取	wbcx
完事	wbdj
宣誓	wbdp
空投	wbdq
运抵	wbdr
宗教事务局	wbdr
违抗	wbds
窥探	wbdw
宣扬	wbdy
运载	wbeh
空载	wbeh
神魂颠倒	wben
远期	wbeq
运营	wbew
违禁	wbff
完整	wbfj
空想	wbfl
空格	wbfr
远大	wbgd
穿云破雾	wbgf
进而	wbgl
宣布	wbgl
空袭	wbgs
远在	wbgv
宣威	wbha
运转	wbhb
运到	wbhk
远东	wbhk
运输	wbho
社区	wbho
完成	wbhv
袪邪	wbhy
空	wbi
宣战	wbij
空战	wbij
进步	wbik
空虚	wbik
进餐	wbir
农工商	wbis
禧	wbj
迼	wbj
进口	wbja
社团	wbjd
社员	wbjl
遠	wbjr
空中	wbjv
宣恩	wbjw
宗	wbk
远景	wbks
空旷	wbkt
进水	wbkv
空置	wble
远见	wblr
运用	wblv
完县	wblz
褚	wbm
运筹	wbmc
空缺	wbme
初来乍到	wbmh
进程	wbmj
宣告	wbmj
远程	wbmj
社稷	wbmk
运算	wbml
宣称	wbmr
进攻性	wbmu
运气	wbmy
空气	wbmy
进	wbn
违例	wbna
宣传	wbnb
进	wbnd
进修	wbni
社保	wbnj
空白	wbnk
运作	wbnm
宗教信仰	wbnn
逆来顺受	wbnp
进货	wbnr
进化	wbnr
宣化	wbnr
空位	wbns
逢场作戏	wbnx
窥	wbo
远征	wboa
社会	wbob
逵	wbob
完全	wboc
进入	wbod
进行	wboi
运行	wboi
运往	wbos
空仓	wboy
进仓	wboy
远销	wbpk
违反	wbpx
进风	wbqo
违犯	wbqy
远	wbr
远	wbrd
远处	wbri
冠名	wbrj
完备	wbrk
宗旨	wbrk
边境贸易	wbrk
完毕	wbrr
速动比率	wbrs
宣言	wbsa
宣讲	wbsb
宣读	wbse
远亲	wbsf
进谏	wbsf
进京	wbsj
违章	wbsk
空调	wbsl
空话	wbsm
远离	wbso
社论	wbso
社交	wbso
远望	wbsq
空谈	wbsu
远方	wbsy
空闲	wbtf
空头	wbtg
空间	wbtk
窍门	wbtl
违背	wbtr
袪痰	wbtu
进度	wbtv
边境冲突	wbtw
逹	wbub
達	wbuc
完美	wbug
宣判	wbuk
空前	wbuq
完善	wbuu
运河	wbva
违法	wbvb
宗法	wbvb
宣泄	wbve
空港	wbve
空洞	wbvl
窥测	wbvl
宣州	wbvn
宗派	wbvp
房地产	wbvs
远洋	wbvu
进深	wbvw
宣汉	wbvx
远远	wbwb
空运	wbwb
冠军	wbwh
进军	wbwh
空军	wbwh
窥视	wbwl
远视	wbwl
违宪	wbwm
迎来送往	wbwo
空穴	wbwo
远近	wbwp
返老还童	wbws
运送	wbwu
进退	wbwx
空心	wbwz
远安	wbwz
进展	wbxe
被动局面	wbxg
完蛋	wbxi
逜	wbxj
进驻	wbxs
违	wby
空子	wbya
褂子	wbya
逇	wbyi
空隙	wbyk
运力	wbym
运费	wbyn
社队	wbyo
空降	wbyr
军功章	wbys
完了	wbyv
宇都宫	wbyw
运	wbz
迃	wbz
完结	wbzb
被劫持	wbzd
运动战	wbzi
运动员	wbzj
心动图	wbzj
突击手	wbzm
运动会	wbzo
运动服	wbzq
违约	wbzr
宣纸	wbzr
逺	wbzr
运	wbzs
迲	wbzs
进发	wbzv
连云港	wbzv
完好	wbzy
过去了	wbzy
违纪	wbzy
进出	wbzz
割	wc
割裂	wcar
宝塔	wcbe
宝坻	wcbr
宝丰	wcci
宝珠	wccm
宝玉	wccs
祷	wcd
割据	wcdx
宝藏	wceh
道琼斯股票	wceq
宝石	wcga
害虫	wcia
害	wcj
宝贵	wcja
豁口	wcja
宝贵	wcji
逆耳忠言	wcjs
安理会	wcko
心理学	wckv
宝山	wcll
宝贝	wclo
宝剑	wcob
割舍	wcom
宝钢	wcpl
害臊	wcqj
裱	wcr
豁然	wcrg
害处	wcri
宝岛	wcrl
害鸟	wcrz
宝	wcs
豁亮	wcsj
害病	wcta
宝库	wcth
宝座	wcto
宝应	wctv
遤	wcu
害怕	wcun
害羞	wcux
宝兴	wcva
宝清	wcvc
遨游	wcvs
迋	wcvv
豁达	wcwg
宝安	wcwz
窗玻璃	wcxc
宝鸡	wcxr
遨	wcy
宝刀	wcyd
遨	wcym
割线	wczh
定	wd
宇	wda
宀	wdaa
定于	wdad
过于	wdad
宇	wdad
定型	wdae
宁	wdai
寔	wdai
寄	wdaj
过严	wdak
宿	wdan
宺	wdan
鸋	wdar
宣	wdb
宣	wdbk
宗	wdbk
过来	wdbk
寐	wdbk
崈	wdbl
賨	wdbl
宑	wdbn
完	wdbr
鶎	wdbr
过境	wdbs
宯	wdby
过去	wdbz
逝去	wdbz
寷	wdci
害	wdcj
定理	wdck
実	wdco
寈	wdcq
宝	wdcs
守	wdd
实事求是	wddk
军事援助	wddl
衬托	wddm
过热	wddq
守势	wddq
守	wdds
守护	wddw
军事基地	wdeb
